City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,burutu,5.3509,5.5076,25.57,83,74,2.15,NG,1691131765
348,esmeraldas,-19.7625,-44.3139,16.48,46,0,1.54,BR,1691131766
349,tual,-5.6667,132.75,26.14,84,100,8.14,ID,1691131767
350,bamor kalan,24.9,78.15,25.94,87,100,8.25,IN,1691131767
351,castillos,-34.1667,-53.8333,10.09,65,100,0.93,UY,1691131767
352,thabazimbi,-24.5917,27.4116,13.64,44,0,1.03,ZA,1691131768
353,swift current,50.2834,-107.8014,22.45,53,40,4.63,CA,1691131769
354,vila velha,-20.3297,-40.2925,18.86,92,0,1.03,BR,1691131769
355,haiku-pauwela,20.9219,-156.3051,24.47,74,0,6.17,US,1691131770
356,machico,32.7,-16.7667,23.4,83,40,8.23,PT,1691131770
357,mhamid,29.82,-5.72,33.3,9,0,2.98,MA,1691131771
358,bom jesus,-9.0744,-44.3586,19.84,81,76,0.38,BR,1691131771
359,la tuque,47.4334,-72.7824,16.14,94,100,1.03,CA,1691131772
360,betio village,1.358,172.9211,30.02,69,87,2.2,KI,1691131772
361,likiep,9.8251,169.3107,28.6,77,49,5.87,MH,1691131772
